keys,en,de
SUBJ_NEWS_4,Last chance: summer sale,Letzte Chance: Sommerschlussverkauf
SUBJ_STRANGER_0,You won a free cruise,Du hast eine Kreuzfahrt gewonnen
SUBJ_STRANGER_1,Lose 20 pounds in 2 days,10 Kilo weniger in 2 Tagen
SUBJ_STRANGER_2,Make money from home,Reich werden von zu Hause
SUBJ_STRANGER_3,A business proposal for you,Ein Geschäftsvorschlag für dich
SUBJ_STRANGER_4,Hot deals just for you,Heiße Deals nur für dich
SUBJ_SECURITY_0,Your account was suspended,Dein Konto wurde gesperrt
SUBJ_SECURITY_1,Verify your password now,Bestätige jetzt dein Passwort
SUBJ_SECURITY_2,Unusual login detected,Ungewöhnliche Anmeldung erkannt
SUBJ_SECURITY_3,Confirm your payment details,Bestätige deine Zahlungsdaten
SUBJ_SECURITY_4,Your parcel is on hold,Dein Paket wird zurückgehalten
SUBJ_BOSS,Special assignment for you,Sonderauftrag für dich
SUBJ_NONE,(no subject),(kein Betreff)
WORD_EXCLUSIVE,Exclusive,Exklusiv
WORD_URGENT,Urgent,Dringend
FILE_PDF,invoice,rechnung
FILE_DOCX,report,bericht
FILE_ZIP,photos,fotos
FILE_EXE,free_game,gratis_spiel
LINK_TEXT,Click here to verify,Hier klicken & bestätigen
AMOUNT_FMT,💵 Amount: ${v},💵 Betrag: {v} €
NUM_SEP,",",.
COND_CAPS,Subject in ALL CAPS,Betreff in GROSSBUCHSTABEN
COND_DIGITS,Numbers in sender address,Zahlen in der Absenderadresse
COND_EMOJIS,3+ emojis in subject,3+ Emojis im Betreff
COND_EXE,.exe attachment,.exe-Anhang
COND_XYZ,Sender domain ends in .xyz,Absender-Domain endet auf .xyz
COND_EXCLUSIVE,'Exclusive' in subject,'Exklusiv' im Betreff
COND_URGENT,'Urgent' in subject,'Dringend' im Betreff
COND_AMOUNT,"Amount over $1,000",Betrag über 1.000 €
COND_CAT,Boss loves cats: 🐱 in subject,Chef liebt Katzen: 🐱 im Betreff
COND_COMPANY_LINK,A colleague sends a link,Kollege schickt einen Link
COND_NEWS_ATTACH,Newsletter with attachment,Newsletter mit Anhang
COND_NO_SUBJECT,No subject,Kein Betreff
COND_HR,Anything from HR,Alles von der Personalabteilung
COND_CORP_SECURITY,Account alert from @dullcorp.com,Konto-Warnung von @dullcorp.com
HUD_SCORE,SCORE,PUNKTE
HUD_COMBO,COMBO {n}  ×{m},COMBO {n}  ×{m}
HUD_INBOX,INBOX,POSTEINGANG
HUD_RULE,RULE,REGEL
HUD_RULE_NONE,Base rules only – the sender decides,Nur Grundregeln – der Absender entscheidet
HUD_NEW_RULE,NEW RULE!,NEUE REGEL!
HUD_REORG_TITLE,REORG!,UMSTRUKTURIERUNG!
HUD_REORG_TEXT,IT swapped two baskets,Die IT hat zwei Körbe vertauscht
HUD_BOOST,CAFFEINE BOOST!,KOFFEIN-BOOST!
HUD_BOOST_TEXT,Inbox slows down,Der Posteingang wird langsamer
BOSS_CHALLENGE,{goal} mails without mistakes,{goal} Mails ohne Fehler
BOSS_REWARD_LIFE,Reward: +1 ♥,Belohnung: +1 ♥
BOSS_REWARD_SCORE,Reward: +{v},Belohnung: +{v}
BOSS_SUCCESS,BOSS IS PLEASED!,CHEF IST ZUFRIEDEN!
BOSS_FAIL,Boss: *sigh*,Chef: *seufz*
TITLE_NAME,SPAM SLAM,SPAM SLAM
TITLE_HINT,Swipe each mail into the right basket – or use arrow keys / WASD.,Wisch jede Mail in den richtigen Korb – oder nutz Pfeiltasten / WASD.
TITLE_HINT2,The sender decides the basket – unless the RULE says otherwise!,Der Absender bestimmt den Korb – außer die REGEL sagt was anderes!
TITLE_START,Tap or press any key to start,Tippen oder Taste drücken zum Starten
GAMEOVER_TITLE,GAME OVER,FEIERABEND!
GAMEOVER_LIVES,Too many mistakes. You're fired.,Zu viele Fehler. Du bist gefeuert.
GAMEOVER_PILE,Your inbox collapsed!,Dein Posteingang ist eingestürzt!
GAMEOVER_SCORE,Score: {v},Punkte: {v}
GAMEOVER_BEST,Best: {v},Rekord: {v}
GAMEOVER_NEW_BEST,NEW HIGHSCORE!,NEUER REKORD!
GAMEOVER_STATS,Sorted {sorted}  ·  Accuracy {acc}%  ·  Max combo {combo}  ·  {time}s,Sortiert {sorted}  ·  Trefferquote {acc}%  ·  Max-Combo {combo}  ·  {time}s
GAMEOVER_RESTART,Tap or press any key to try again,Tippen oder Taste drücken für neuen Versuch
BTN_LANGUAGE,🌐 Deutsch,🌐 English
